section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2560_s_10,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,10,content,,,content,พระมหากษัตริย์ทรงเลือกและทรงแต่งตั้งผู้ทรงคุณวุฒิเป็นประธานองคมนตรี คนหนึ่งและองคมนตรีอื่นอีกไม่เกินสิบแปดคนประกอบเป็นคณะองคมนตรี คณะองคมนตรีมีหน้าที่ถวายความเห็นต่อพระมหากษัตริย์ในพระราชกรณียกิจทั้งปวง ที่พระมหากษัตริย์ทรงปรึกษา และมีหน้าที่อื่นตามที่บัญญัติไว้ในรัฐธรรมนูญ
const_2560_s_11,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,11,content,,,content,การเลือกและแต่งตั้งองคมนตรีหรือการให้องคมนตรีพ้นจากตําแหน่ง ให้เป็นไป ตามพระราชอัธยาศัย ให้ประธานรัฐสภาเป็นผู้ลงนามรับสนองพระบรมราชโองการแต่งตั้งประธานองคมนตรีหรือ ให้ประธานองคมนตรีพ้นจากตําแหน่ง ให้ประธานองคมนตรีเป็นผู้ลงนามรับสนองพระบรมราชโองการแต่งตั้งองคมนตรีอื่นหรือ ให้องคมนตรีอื่นพ้นจากตําแหน่ง เล่ม 134 ตอนที่ 40 ก 6 เมษายน 2560
const_2560_s_12,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,12,content,,,content,องคมนตรีต้องไม่เป็นสมาชิกสภาผู้แทนราษฎร สมาชิกวุฒิสภา หรือดํารงตําแหน่ง ทางการเมืองอื่น ตุลาการศาลรัฐธรรมนูญ ผู้ดํารงตําแหน่งในองค์กรอิสระ พนักงานรัฐวิสาหกิจ เจ้าหน้าที่อื่น ของรัฐ หรือสมาชิกหรือเจ้าหน้าที่ของพรรคการเมือง หรือข้าราชการเว้นแต่การเป็นข้าราชการในพระองค์ ในตําแหน่งองคมนตรี และต้องไม่แสดงการฝักใฝ่ในพรรคการเมืองใด ๆ
const_2560_s_13,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,13,content,,,content,ก่อนเข้ารับหน้าที่ องคมนตรีต้องถวายสัตย์ปฏิญาณต่อพระมหากษัตริย์ ด้วยถ้อยคํา ดังต่อไปนี้ “ข้าพระพุทธเจ้า (ชื่อผู้ปฏิญาณ) ขอถวายสัตย์ปฏิญาณว่า ข้าพระพุทธเจ้าจะจงรักภักดีต่อ พระมหากษัตริย์ และจะปฏิบัติหน้าที่ด้วยความซื่อสัตย์สุจริต เพื่อประโยชน์ของประเทศและประชาชน ทั้งจะรักษาไว้และปฏิบัติตามซึ่งรัฐธรรมนูญแห่งราชอาณาจักรไทยทุกประการ”
const_2560_s_14,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,14,content,,,content,องคมนตรีพ้นจากตําแหน่งเมื่อตาย ลาออก หรือมีพระบรมราชโองการให้พ้นจาก ตําแหน่ง
const_2560_s_15,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,15,content,,,content,การแต่งตั้งและการให้ข้าราชการในพระองค์พ้นจากตําแหน่ง ให้เป็นไปตาม พระราชอัธยาศัย การจัดระเบียบราชการและการบริหารงานบุคคลของราชการในพระองค์ ให้เป็นไปตาม พระราชอัธยาศัยตามที่บัญญัติไว้ในพระราชกฤษฎีกา
const_2560_s_16,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,16,content,,,content,ในเมื่อพระมหากษัตริย์จะไม่ประทับอยู่ในราชอาณาจักร หรือจะทรงบริหาร พระราชภาระไม่ได้ด้วยเหตุใดก็ตาม จะทรงแต่งตั้งบุคคลคนหนึ่งหรือหลายคนเป็นคณะขึ้น ให้เป็น ผู้สําเร็จราชการแทนพระองค์หรือไม่ก็ได้ และในกรณีที่ทรงแต่งตั้งผู้สําเร็จราชการแทนพระองค์ ให้ประธานรัฐสภาเป็นผู้ลงนามรับสนองพระบรมราชโองการ
const_2560_s_17,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,17,content,,,content,ในกรณีที่พระมหากษัตริย์มิได้ทรงแต่งตั้งผู้สําเร็จราชการแทนพระองค์ ตามมาตรา 16 หรือในกรณีที่พระมหากษัตริย์ไม่สามารถทรงแต่งตั้งผู้สําเร็จราชการแทนพระองค์เพราะ ยังไม่ทรงบรรลุนิติภาวะหรือเพราะเหตุอื่น แต่ต่อมาคณะองคมนตรีพิจารณาเห็นว่ามีความจําเป็นสมควร แต่งตั้งผู้สําเร็จราชการแทนพระองค์และไม่อาจกราบบังคมทูลให้ทรงแต่งตั้งได้ทันการ ให้คณะองคมนตรี เสนอชื่อบุคคลคนหนึ่งหรือหลายคนเป็นคณะ ตามลําดับที่โปรดเกล้าโปรดกระหม่อมกําหนดไว้ก่อนแล้ว ให้เป็นผู้สําเร็จราชการแทนพระองค์ แล้วแจ้งประธานรัฐสภาเพื่อประกาศในพระปรมาภิไธย พระมหากษัตริย์ แต่งตั้งผู้นั้นขึ้นเป็นผู้สําเร็จราชการแทนพระองค์
const_2560_s_18,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,18,content,,,content,ในระหว่างที่ไม่มีผู้สําเร็จราชการแทนพระองค์ตามมาตรา 17 ให้ประธาน องคมนตรีเป็นผู้สําเร็จราชการแทนพระองค์เป็นการชั่วคราวไปพลางก่อน ในกรณีที่ผู้สําเร็จราชการแทนพระองค์ซึ่งได้รับการแต่งตั้งตามมาตรา 16 หรือมาตรา 17 ไม่สามารถปฏิบัติหน้าที่ได้ ให้ประธานองคมนตรีทําหน้าที่ผู้สําเร็จราชการแทนพระองค์เป็นการชั่วคราว ไปพลางก่อน เล่ม 134 ตอนที่ 40 ก 6 เมษายน 2560 ในระหว่างที่ประธานองคมนตรีเป็นผู้สําเร็จราชการแทนพระองค์ตามวรรคหนึ่ง หรือในระหว่างที่ ประธานองคมนตรีทําหน้าที่ผู้สําเร็จราชการแทนพระองค์ตามวรรคสอง ประธานองคมนตรีจะปฏิบัติหน้าที่ ในฐานะเป็นประธานองคมนตรีมิได้ ในกรณีเช่นว่านี้ ให้คณะองคมนตรีเลือกองคมนตรีคนหนึ่งขึ้น ทําหน้าที่ประธานองคมนตรีเป็นการชั่วคราวไปพลางก่อน
const_2560_s_19,const_2560,full,2560,2017,Constitution 2560,post_coup_2014,semi_military,,2,พระมหากษัตริย์,19,content,,,content,ก่อนเข้ารับหน้าที่ ผู้สําเร็จราชการแทนพระองค์ซึ่งได้รับการแต่งตั้งตามมาตรา 16 หรือมาตรา 17 ต้องปฏิญาณตนในที่ประชุมรัฐสภาด้วยถ้อยคํา ดังต่อไปนี้ “ข้าพเจ้า (ชื่อผู้ปฏิญาณ) ขอปฏิญาณว่า ข้าพเจ้าจะจงรักภักดีต่อพระมหากษัตริย์ (พระปรมาภิไธย) และจะปฏิบัติหน้าที่ด้วยความซื่อสัตย์สุจริต เพื่อประโยชน์ของประเทศและประชาชน ทั้งจะรักษาไว้ และปฏิบัติตามซึ่งรัฐธรรมนูญแห่งราชอาณาจักรไทยทุกประการ” ผู้สําเร็จราชการแทนพระองค์ซึ่งเคยได้รับการแต่งตั้งและปฏิญาณตนมาแล้ว ไม่ต้องปฏิญาณตนอีก
