section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2485_s_1,const_2485,amendment,2485,1942,Constitution 2485,early_democracy,military,const_2475,0,,1,wrapper,,,meta,"รัถธัมม์นูญนี้ให้เรียกว่า ""รัถธัมม์แก้ไขเพิ่ม เติมว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราสดร พุทธศักราช 2485"""
const_2485_s_2,const_2485,amendment,2485,1942,Constitution 2485,early_democracy,military,const_2475,0,,2,wrapper,,,meta,ให้ใช้รัถธัมม์นูญนี้ตั้งแต่วันประกาศในราชกิจจา นุเบกสาเป็นต้นไป
const_2485_s_3,const_2485,amendment,2485,1942,Constitution 2485,early_democracy,military,const_2475,0,,3,wrapper,,18.0,amended,"ให้ยกเลิกความในมาตรา 18 ของรัถธัมม์ แห่งราชอาณาจักรไทย และให้ใช้ความต่อไปนี้แทน ""มาตรา 18 สมาชิกสภาผู้แทนราสดรให้หยู่ในตำแหน่ง ได้คราวละสี่ปี แต่ถ้ามีพริติการน์สำคัญกระทบถึงนโยบายพาย ในหรือพายนอก อันทำให้เป็นการพ้นวิสัยหรือมีเหตุขัดข้อง ที่จะให้มีการเลือกตั้งในขณะที่กำหนด เวลาสี่ปีสิ้นสุดลง จะตรา 3 ธันวาคม 2485 ราชกิจจานุเบกษา เล่ม 59 ตอนที่ 75 พระราชบัญญัติขยายกำหนดเวลานั้นออกไปอีกคราวละไม่เกินสองปีก็ได้ หากพายในกำหนดเวลาเช่นว่านั้น พริติการนี้เปลี่ยนแปลงไป จะตราพระราชกริสดีกาให้ดำเนินการเลือกตั้งในเวลาหนึ่งเวลาใดก็ได้ ถ้าตำแหน่งสมาชิกว่างลงเพราะเหตุอื่นนอกจากถึงคราวออกตามวาระ ให้เลือกตั้งสมาชิกขึ้นแทนให้เต็มตำแหน่งที่ว่างหยู่ แต่สมาชิกที่เข้ามาแทนนั้นให้หยู่ในตำแหน่งได้เพียงเท่ากำหนดเวลาของผู้ซึ่งตนแทน"" ผู้รับสนองพระบรมราชโองการ จอมพล ป. พิบูลสงคราม นายกรัฐมนตรี"
