section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2519_s_1,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,1,content,,,content,ประเทศไทยเป็นราชอาณาจักรอันหนึ่งอันเดียว จะแบ่งแยกมิได้ ฉบับพิเศษ หน้า 5
const_2519_s_2,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,2,content,,,content,ประเทศไทยมีการปกครองระบอบประชาธิปไตย มีพระมหากษัตริย์เป็นประมุข
const_2519_s_3,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,3,content,,,content,อำนาจอธิปไตยมาจากปวงชนชาวไทย พระมหากษัตริย์ผู้เป็นประมุขทรงใช้อำนาจนั้นแต่โดยบทบัญญัติแห่งรัฐธรรมนูญ
const_2519_s_4,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,4,content,,,content,พระมหากษัตริย์ทรงดำรงตำแหน่งจอมทัพไทย
const_2519_s_5,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,5,content,,,content,องค์พระมหากษัตริย์ดำรงอยู่ในฐานะอันเป็นที่เคารพสักการะ ผู้ใดจะละเมิดมิได้ และจะกล่าวหาหรือฟ้องร้องในทางใด ๆ มิได้
const_2519_s_6,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,6,content,,,content,พระมหากษัตริย์ทรงเลือกและแต่งตั้งผู้ทรงคุณวุฒิเป็นประธานองคมนตรีคนหนึ่ง และองคมนตรีอื่นอีกไม่เกินสิบสี่คน ประกอบเป็นคณะองคมนตรี คณะองคมนตรีมีหน้าที่ถวายความเห็นต่อพระมหากษัตริย์ในพระราชกรณียกิจทั้งปวงที่พระมหากษัตริย์ทรงปรึกษา การเลือกและแต่งตั้งองคมนตรี และการให้องคมนตรีพ้นจากตำแหน่ง ย่อมเป็นไปตามพระราชอัธยาศัย ให้ประธานสภาปฏิรูปการปกครองแผ่นดินเป็นผู้ลงนาม รับสนองพระบรมราชโองการแต่งตั้งประธานองคมนตรีหรือ ฉบับพิเศษ หน้า 6 ให้ประธานองคมนตรีพ้นจากตำแหน่ง และให้ประธานองคมนตรี เป็นผู้ลงนามรับสนองพระบรมราชโองการแต่งตั้งองคมนตรีอื่น หรือให้องคมนตรีอื่นพ้นจากตำแหน่ง
const_2519_s_7,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,7,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจนิติบัญญัติทาง สภาปฏิรูปการปกครองแผ่นดิน ทรงใช้อำนาจบวิหารทางคณะ รัฐมนตรี และทรงใช้อำนาจตุลาการทางศาล
const_2519_s_8,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,8,content,,,content,บุคคลมีสิทธิและเสรีภาพภายใต้บังคับบทบัญญัติ แห่งกฎหมาย
const_2519_s_9,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,9,content,,,content,บุคคลมีหน้าที่รักษาไว้ซึ่ง ชาติ ศาสนา พระมหา กษัตริย์ และการปกครองระบอบประชาธิปไตยตามรัฐธรรมนูญนี้ และมีหน้าที่ป้องกันประเทศและปฏิบัติตามกฎหมาย
const_2519_s_10,const_2519,full,2519,1976,Constitution 2519,democratic_spring,military,,0,บททั่วไป,10,content,,,content,ให้มีสภาปฏิรูปการปกครองแผ่นดินเพื่อทำ หน้าที่นิติบัญญัติ ประกอบด้วยสมาชิกจำนวนไม่น้อยกว่าสามร้อย คนแต่ไม่เกินสี่ร้อยคน ซึ่งพระมหากษัตริย์ทรงแต่งตั้ง และอยู่ ในตำแหน่งสี่ปีนับแต่วันที่พระมหากษัตริย์ทรงแต่งตั้ง พระมหากษัตริย์ทรงไว้ซึ่งพระราชอำนาจที่จะให้สมาชิก สภาปฏิรูปการปกครองแผ่นดินพ้นจากตำแหน่งก่อนครบวาระ ตามที่ประธานสภาปฏิรูปการปกครองแผ่นดินถวายคำแนะนำ ตามมติของสภาปฏิรูปการปกครองแผ่นดิน ฉบับพิเศษ หน้า 7 การแต่งตั้งสมาชิกแทนในตำแหน่งที่ว่างหรือแต่งตั้งเพิ่มให้สมาชิกซึ่งได้รับการแต่งตั้งอยู่ในตำแหน่งได้เพียงเท่าวาระของสมาชิกสภาปฏิรูปการปกครองแผ่นดิน
