section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2518_s_1,const_2518,amendment,2518,1975,Constitution 2518,democratic_spring,civilian,const_2517,0,,1,wrapper,,,meta,"รัฐธรรมนูญนี้เรียกว่า ""รัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช 2518"""
const_2518_s_2,const_2518,amendment,2518,1975,Constitution 2518,democratic_spring,civilian,const_2517,0,,2,wrapper,,,meta,รัฐธรรมนูญนี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศในราชกิจจานุเบกษาเป็นต้นไป
const_2518_s_3,const_2518,amendment,2518,1975,Constitution 2518,democratic_spring,civilian,const_2517,0,,3,wrapper,,107.0,amended,"ให้ยกเลิกความในมาตรา 107 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย และให้ใช้ความต่อไปนี้แทน "" มาตรา 107 วุฒิสภาประกอบด้วยสมาชิกจำนวนหนึ่งร้อยคน ซึ่งพระมหากษัตริย์ทรงแต่งตั้งจากผู้ทรงคุณวุฒิ ซึ่งมีความรู้ความชำนาญในวิชาการหรือกิจการต่าง ๆ อันจะยังประโยชน์ให้เกิดแก่การปกครองแผ่นดิน มีคุณสมบัติตามมาตรา 117 (1) และมีอายุไม่ต่ำกว่าสามสิบห้าปีบริบูรณ์ ทั้งไม่เป็นบุคคลผู้มีลักษณะต้องห้ามตามมาตรา 116 และมาตรา 118 ให้นายกรัฐมนตรีเป็นผู้ลงนามรับสนองพระบรมราชโองการแต่งตั้งสมาชิกวุฒิสภา """
const_2518_s_4,const_2518,amendment,2518,1975,Constitution 2518,democratic_spring,civilian,const_2517,0,,4,wrapper,,110.0,amended,"ให้ยกเลิกความในมาตรา 110 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย และให้ใช้ความต่อไปนี้แทน "" มาตรา 110 เมื่อตำแหน่งสมาชิกวุฒิสภาว่างลงเพราะเหตุอื่นใด นอกจากถึงคราวออกตามวาระ พระมหากษัตริย์จะได้ทรงแต่งตั้งบุคคลผู้มีลักษณะต้องตามที่บัญญัติไว้ใน ฉบับพิเศษ หน้า 3"
const_2518_s_107,const_2518,amendment,2518,1975,Constitution 2518,democratic_spring,civilian,const_2517,0,,107,wrapper,,,content,"เข้ามาเป็นสมาชิกแทน สมาชิกซึ่งเข้ามาแทนนั้น ย่อมอยู่ในตำแหน่งได้เพียงเท่ากำหนดเวลาของผู้ซึ่งตนแทน"" ผู้รับสนองพระบรมราชโองการ สัญญา ธรรมศักดิ์ นายกรัฐมนตรี"
