section_id,doc_id,doc_type,year_th,year_ce,name_short,era,regime_type,parent_doc_id,chapter_number,chapter_title,section_number,section_role,target_chapter,target_section_no,change_mode,text
const_2475_s_1,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,0,บททั่วไป,1,content,,,content,สยามประเทศเป็นราชอาณาจักรอันหนึ่งอันเดียว จะแบ่งแยกมิได้ ประชาชนชาวสยามไม่ว่าเหล่ากำเนิดหรือศาสนาใด ย่อมอยู่ในความคุ้มครองแห่งรัฐธรรมนูญนี้เสมอกัน
const_2475_s_2,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,0,บททั่วไป,2,content,,,content,อำนาจอธิปไตยย่อมมาจากปวงชนชาวสยาม พระมหากษัตริย์ผู้เป็นประมุข ทรงใช้อำนาจนั้นแต่โดยบทบัญญัติแห่งรัฐธรรมนูญนี้
const_2475_s_3,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,3,content,,,content,องค์พระมหากษัตริย์ดำรงอยู่ในฐานะอันเป็นที่เคารพสักการ ผู้ใดจะละเมิดมิได้
const_2475_s_4,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,4,content,,,content,พระมหากษัตริย์ต้องทรงเป็นพุทธมามกะ และทรงเป็นอัครศาสนูปถัมภก
const_2475_s_5,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,5,content,,,content,พระมหากษัตริย์ทรงดำรงตำแหน่งจอมทัพ สยาม
const_2475_s_6,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,6,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจนิติบัญญัติโดยคำแนะนำและยินยอมของสภาผู้แทนราษฎร
const_2475_s_7,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,7,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจบริหารทางคณะรัฐมนตรี
const_2475_s_8,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,8,content,,,content,พระมหากษัตริย์ทรงใช้อำนาจตุลาการทางศาล ที่ได้ตั้งขึ้นตามกฎหมาย
const_2475_s_9,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,9,content,,,content,การสืบราชสมบัติท่านว่าให้เป็นไปโดยนัยแห่งกฎมนเทียรบาลว่าด้วยการสืบราชสันตติวงศ์ พ.ศ. 2467 และประกอบด้วยความเห็นชอบของสภาผู้แทนราษฎร
const_2475_s_10,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,10,content,,,content,ในเมื่อพระมหากษัตริย์จะไม่ประทับอยู่ในราชอาณาจักร หรือด้วยเหตุใดเหตุหนึ่งจะทรงบริหารพระราชภาระไม่ได้ จะได้ทรงตั้งบุคคลหนึ่งหรือหลายคนเป็นคณะขึ้นให้เป็นผู้สำเร็จราชการแทนพระองค์ ด้วยความเห็นชอบของสภาผู้แทนราษฎร ถ้าหากพระมหากษัตริย์มิได้ทรงตั้งหรือไม่สามารถจะทรงตั้งได้ไซร้ ท่านให้สภาผู้แทนราษฎรปรึกษากันตั้งขึ้น และในระหว่างที่สภาผู้แทนราษฎรอยังมิได้ตั้งผู้ใด ท่านให้คณะรัฐมนตรีกระทำหน้าที่นั้นไปชั่วคราว
const_2475_s_11,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,1,พระมหากษัตริย์,11,content,,,content,พระบรมวงศานุวงศ์ตั้งแต่ชั้นม่อมเจ้าขึ้นไปโดยคำเนิดหรือโดยแต่งตั้งก็ตาม ย่อมดำรงอยู่ในฐานะเหนือคารเมือง เล่ม 49 หน้า 536 ราชกิจจานุเบกษา วันที่ 10 ธันวาคม 2475
const_2475_s_12,const_2475,full,2475,1932,Constitution 2475,early_democracy,civilian,,2,สิทธิและหน้าที่ของชนชาวสยาม,12,content,,,content,ภายในบังคับแห่งบทบัญญัติในรัฐธรรมนูญนี้ บุคคลย่อมเสมอกันในกฎหมาย ฐานันดรศักดิ์โดยกำเนิดก็ดี โดยแต่งตั้งก็ดี หรือโดยประการอื่นใดก็ดี ไม่กระทำให้เกิดเอกสิทธิ์อย่างใดเลย
