theme,first_mass,last_mass,first_ratio,last_ratio,trend_delta,dynamic_score
อื่น ๆ (emergent),201.0,75.0,0.161186848436247,0.0728862973760933,-0.0883005510601537,0.0883005510601537
สถาบันพระมหากษัตริย์,217.80604734075328,114.48432066200075,0.17466403154831858,0.11125784320894146,-0.06340618833937713,0.06340618833937713
ตุลาการ,54.14896435052761,96.08679252524111,0.043423387610687744,0.09337880711879602,0.04995541950810828,0.04995541950810828
ท้องถิ่น,14.107780022449093,44.6354650979992,0.011313376120648831,0.04337751710204004,0.03206414098139121,0.03206414098139121
แนวนโยบายแห่งรัฐ,91.94486410434287,108.43226003057501,0.07373285012377134,0.10537634599667153,0.03164349587290019,0.03164349587290019
พรรคการเมืองและการเลือกตั้ง,85.66827978658073,50.49440076754182,0.06869950263558999,0.04907133213560915,-0.019628170499980842,0.019628170499980842
สิทธิ-เสรีภาพ-หน้าที่,105.18402607421237,105.02119524049868,0.08434966004347423,0.10206141422788988,0.017711754184415646,0.017711754184415646
จริยธรรมทางการเมือง,0.625,17.889100534487945,0.0005012028869286287,0.01738493735130024,0.016883734464371608,0.016883734464371608
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,11.287764381114766,24.279895629701798,0.009051936151655787,0.023595622575026044,0.014543686423370257,0.014543686423370257
การคลังและงบประมาณ,1.9447101449275364,13.619624038388075,0.001559510942203317,0.013235786237500559,0.011676275295297241,0.011676275295297241
นิติบัญญัติ,312.48073214320914,248.05450259425112,0.25058599209559673,0.2410636565541799,-0.009522335541416821,0.009522335541416821
บริหาร,145.6095239595749,125.27887070617224,0.11676786203654763,0.12174817366974951,0.004980311633201881,0.004980311633201881
การมีส่วนร่วมทางการเมือง,5.192307692307692,5.723572173142235,0.004163839368330146,0.0055622664462023665,0.0013984270778722207,0.0013984270778722207
