theme,n_sections,n_constitutions,avg_theme_score,coverage_ratio,stable_score
อื่น ๆ (emergent),352,37,1.0,0.9736842105263158,0.9815789473684211
บริหาร,690,38,0.46506945284191253,1.0,0.8395208358525736
นิติบัญญัติ,1203,31,0.5775640588463103,0.8157894736842105,0.7443218492328405
สถาบันพระมหากษัตริย์,653,26,0.5935742539193452,0.6842105263157895,0.6570196445968561
พรรคการเมืองและการเลือกตั้ง,428,28,0.3714290328310341,0.7368421052631579,0.6272181835335207
สิทธิ-เสรีภาพ-หน้าที่,566,26,0.4588021881524861,0.6842105263157895,0.6165880248667984
ตุลาการ,339,22,0.5101997398284448,0.5789473684210527,0.5583230798432702
แนวนโยบายแห่งรัฐ,459,21,0.5624824527927474,0.5526315789473685,0.5555868411009821
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,129,13,0.2842569990545332,0.34210526315789475,0.3247507839268863
ท้องถิ่น,163,10,0.4426994563086906,0.2631578947368421,0.31702036320839666
จริยธรรมทางการเมือง,54,7,0.42597660922452424,0.18421052631578946,0.2567403511884099
การมีส่วนร่วมทางการเมือง,38,8,0.30633929804193627,0.21052631578947367,0.23927021046521246
การคลังและงบประมาณ,53,7,0.29366668270406815,0.18421052631578946,0.21704737323227308
