year_th,theme,theme_score
2475,ตุลาการ,2.5
2475,นิติบัญญัติ,17.051688618709896
2475,บริหาร,8.436507936507937
2475,พรรคการเมืองและการเลือกตั้ง,5.73015873015873
2475,สถาบันพระมหากษัตริย์,14.518253968253967
2475,สิทธิ-เสรีภาพ-หน้าที่,3.937858831475853
2475,อื่น ๆ (emergent),14.0
2475,แนวนโยบายแห่งรัฐ,0.8255319148936171
2482,บริหาร,1.0
2482,อื่น ๆ (emergent),2.0
2483,นิติบัญญัติ,0.2631578947368421
2483,บริหาร,0.2631578947368421
2483,พรรคการเมืองและการเลือกตั้ง,0.2105263157894737
2483,สถาบันพระมหากษัตริย์,0.2631578947368421
2483,อื่น ๆ (emergent),2.0
2485,บริหาร,0.5555555555555556
2485,พรรคการเมืองและการเลือกตั้ง,1.4444444444444444
2485,อื่น ๆ (emergent),1.0
2489,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1.0
2489,ตุลาการ,6.5
2489,นิติบัญญัติ,16.445087076666024
2489,บริหาร,13.091060985797828
2489,พรรคการเมืองและการเลือกตั้ง,13.81421502474134
2489,สถาบันพระมหากษัตริย์,15.915204678362572
2489,สิทธิ-เสรีภาพ-หน้าที่,7.2344322344322345
2489,อื่น ๆ (emergent),22.0
2490,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1.4444444444444444
2490,ตุลาการ,4.0
2490,นิติบัญญัติ,31.731077694235587
2490,บริหาร,12.064745196324143
2490,พรรคการเมืองและการเลือกตั้ง,8.904761904761905
2490,สถาบันพระมหากษัตริย์,20.625396825396827
2490,สิทธิ-เสรีภาพ-หน้าที่,4.829573934837093
2490,อื่น ๆ (emergent),17.0
2490,แนวนโยบายแห่งรัฐ,0.4
2491,นิติบัญญัติ,3.6173222912353347
2491,บริหาร,2.550724637681159
2491,พรรคการเมืองและการเลือกตั้ง,2.3485162180814356
2491,สถาบันพระมหากษัตริย์,1.0238095238095237
2491,สิทธิ-เสรีภาพ-หน้าที่,0.4596273291925467
2491,อื่น ๆ (emergent),3.0
2492,การมีส่วนร่วมทางการเมือง,1.6025641025641024
2492,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,2.777777777777778
2492,ตุลาการ,7.538461538461538
2492,นิติบัญญัติ,48.59902166229397
2492,บริหาร,16.07999335490937
2492,พรรคการเมืองและการเลือกตั้ง,16.520123119951496
2492,สถาบันพระมหากษัตริย์,32.929227053140096
2492,สิทธิ-เสรีภาพ-หน้าที่,19.24006171377027
2492,อื่น ๆ (emergent),28.0
2492,แนวนโยบายแห่งรัฐ,14.71276967713138
2495,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,0.546218487394958
2495,ตุลาการ,1.5086580086580086
2495,นิติบัญญัติ,7.551679565106675
2495,บริหาร,4.657497714416689
2495,พรรคการเมืองและการเลือกตั้ง,5.057029926595145
2495,สถาบันพระมหากษัตริย์,1.957177357443949
2495,สิทธิ-เสรีภาพ-หน้าที่,0.9572239746435015
2495,อื่น ๆ (emergent),8.0
2495,แนวนโยบายแห่งรัฐ,6.764514965741075
2502,ตุลาการ,0.2
2502,นิติบัญญัติ,1.7
2502,บริหาร,5.426315789473684
2502,สถาบันพระมหากษัตริย์,6.891729323308271
2502,สิทธิ-เสรีภาพ-หน้าที่,0.2105263157894737
2502,อื่น ๆ (emergent),5.0
2502,แนวนโยบายแห่งรัฐ,0.5714285714285715
2511,การมีส่วนร่วมทางการเมือง,1.6025641025641024
2511,จริยธรรมทางการเมือง,0.625
2511,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,4.333333333333333
2511,ตุลาการ,7.3712374581939795
2511,ท้องถิ่น,1.5903381642512078
2511,นิติบัญญัติ,52.87128719233982
2511,บริหาร,13.336066229403295
2511,พรรคการเมืองและการเลือกตั้ง,11.783859383687759
2511,สถาบันพระมหากษัตริย์,30.296918578497525
2511,สิทธิ-เสรีภาพ-หน้าที่,19.551625880597594
2511,อื่น ๆ (emergent),24.0
2511,แนวนโยบายแห่งรัฐ,15.637769677131379
2515,ตุลาการ,0.3333333333333333
2515,บริหาร,9.415204678362572
2515,สถาบันพระมหากษัตริย์,8.596491228070175
2515,สิทธิ-เสรีภาพ-หน้าที่,0.6549707602339182
2515,อื่น ๆ (emergent),4.0
2517,การคลังและงบประมาณ,1.9447101449275364
2517,การมีส่วนร่วมทางการเมือง,1.987179487179487
2517,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,0.7415458937198068
2517,ตุลาการ,12.088563745867116
2517,ท้องถิ่น,7.510466043202667
2517,นิติบัญญัติ,68.88683777833467
2517,บริหาร,16.99799916457811
2517,พรรคการเมืองและการเลือกตั้ง,8.97130372001393
2517,สถาบันพระมหากษัตริย์,32.4207473812737
2517,สิทธิ-เสรีภาพ-หน้าที่,25.646516413148582
2517,อื่น ๆ (emergent),30.0
2517,แนวนโยบายแห่งรัฐ,30.804130227754403
2518,นิติบัญญัติ,0.8333333333333333
2518,บริหาร,1.3333333333333333
2518,สถาบันพระมหากษัตริย์,0.8333333333333333
2518,อื่น ๆ (emergent),2.0
2519,ตุลาการ,0.3333333333333333
2519,นิติบัญญัติ,0.7894736842105263
2519,บริหาร,10.722943722943723
2519,พรรคการเมืองและการเลือกตั้ง,0.2105263157894737
2519,สถาบันพระมหากษัตริย์,10.528138528138529
2519,สิทธิ-เสรีภาพ-หน้าที่,1.155844155844156
2519,อื่น ๆ (emergent),5.0
2519,แนวนโยบายแห่งรัฐ,0.25974025974025977
2520,ตุลาการ,0.25
2520,บริหาร,12.17936507936508
2520,พรรคการเมืองและการเลือกตั้ง,2.2857142857142856
2520,สถาบันพระมหากษัตริย์,10.44047619047619
2520,สิทธิ-เสรีภาพ-หน้าที่,0.4444444444444445
2520,อื่น ๆ (emergent),6.0
2520,แนวนโยบายแห่งรัฐ,0.4
2521,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,0.4444444444444445
2521,ตุลาการ,11.525376932680304
2521,ท้องถิ่น,5.006975814995219
2521,นิติบัญญัติ,62.14076535200647
2521,บริหาร,17.49905268618558
2521,พรรคการเมืองและการเลือกตั้ง,8.387100396851306
2521,สถาบันพระมหากษัตริย์,30.56598547651179
2521,สิทธิ-เสรีภาพ-หน้าที่,20.861320085802703
2521,อื่น ๆ (emergent),28.0
2521,แนวนโยบายแห่งรัฐ,21.56897881052219
2528,นิติบัญญัติ,1.852869352869353
2528,บริหาร,0.35714285714285715
2528,พรรคการเมืองและการเลือกตั้ง,1.4822954822954824
2528,สิทธิ-เสรีภาพ-หน้าที่,0.3076923076923077
2528,อื่น ๆ (emergent),2.0
2532,นิติบัญญัติ,1.75
2532,บริหาร,0.25
2532,พรรคการเมืองและการเลือกตั้ง,1.0
2532,อื่น ๆ (emergent),1.0
2534,จริยธรรมทางการเมือง,2.0
2534,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,0.0916030534351145
2534,ตุลาการ,10.484499318368343
2534,ท้องถิ่น,5.717048481170328
2534,นิติบัญญัติ,67.32458270875973
2534,บริหาร,31.313576907832225
2534,พรรคการเมืองและการเลือกตั้ง,11.487836974538345
2534,สถาบันพระมหากษัตริย์,40.26099751641547
2534,สิทธิ-เสรีภาพ-หน้าที่,24.868802695235775
2534,อื่น ๆ (emergent),35.0
2534,แนวนโยบายแห่งรัฐ,27.451052344244665
2535,นิติบัญญัติ,4.075
2535,บริหาร,1.5583333333333333
2535,พรรคการเมืองและการเลือกตั้ง,0.16666666666666669
2535,สถาบันพระมหากษัตริย์,0.2
2535,อื่น ๆ (emergent),8.0
2538,จริยธรรมทางการเมือง,2.4886363636363638
2538,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,1.0098898137831087
2538,ตุลาการ,14.278254567019491
2538,ท้องถิ่น,7.411256238236402
2538,นิติบัญญัติ,63.201554948117156
2538,บริหาร,16.567756459690795
2538,พรรคการเมืองและการเลือกตั้ง,8.561460563967401
2538,สถาบันพระมหากษัตริย์,16.013044300041205
2538,สิทธิ-เสรีภาพ-หน้าที่,27.896772821143514
2538,อื่น ๆ (emergent),27.0
2538,แนวนโยบายแห่งรัฐ,32.571373924364565
2539,การมีส่วนร่วมทางการเมือง,1.3376920562275254
2539,ท้องถิ่น,0.28846153846153844
2539,นิติบัญญัติ,7.621602221831055
2539,บริหาร,0.8928571428571429
2539,พรรคการเมืองและการเลือกตั้ง,4.196405171233547
2539,สถาบันพระมหากษัตริย์,0.6203007518796992
2539,สิทธิ-เสรีภาพ-หน้าที่,1.4503734252018006
2539,อื่น ๆ (emergent),6.0
2539,แนวนโยบายแห่งรัฐ,0.5923076923076923
2540,การคลังและงบประมาณ,2.4461318381801265
2540,การมีส่วนร่วมทางการเมือง,1.182403246459647
2540,จริยธรรมทางการเมือง,2.0994579945799456
2540,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,10.455927731446726
2540,ตุลาการ,36.196539569962
2540,ท้องถิ่น,20.03329227116763
2540,นิติบัญญัติ,91.59525127675256
2540,บริหาร,28.793494360590927
2540,พรรคการเมืองและการเลือกตั้ง,16.67266964685472
2540,สถาบันพระมหากษัตริย์,32.706021853843666
2540,สิทธิ-เสรีภาพ-หน้าที่,37.363105444043406
2540,อื่น ๆ (emergent),20.0
2540,แนวนโยบายแห่งรัฐ,36.45570476611865
2548,การคลังและงบประมาณ,0.15789473684210528
2548,ตุลาการ,0.15789473684210528
2548,นิติบัญญัติ,0.8157894736842106
2548,บริหาร,0.6578947368421053
2548,อื่น ๆ (emergent),2.0
2548,แนวนโยบายแห่งรัฐ,0.21052631578947367
2549,การคลังและงบประมาณ,0.3333333333333333
2549,การมีส่วนร่วมทางการเมือง,1.8846153846153846
2549,ตุลาการ,1.6203007518796992
2549,นิติบัญญัติ,1.6101190476190477
2549,บริหาร,11.535505430242273
2549,พรรคการเมืองและการเลือกตั้ง,0.5934065934065935
2549,สถาบันพระมหากษัตริย์,7.713815789473684
2549,สิทธิ-เสรีภาพ-หน้าที่,4.4589036694299855
2549,อื่น ๆ (emergent),9.0
2549,แนวนโยบายแห่งรัฐ,0.25
2550,การคลังและงบประมาณ,5.053695981381029
2550,การมีส่วนร่วมทางการเมือง,1.3507550252405862
2550,จริยธรรมทางการเมือง,7.441913013843254
2550,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,9.206768751471648
2550,ตุลาการ,30.250213659601954
2550,ท้องถิ่น,16.415814319436613
2550,นิติบัญญัติ,80.97406170517931
2550,บริหาร,34.39224557832342
2550,พรรคการเมืองและการเลือกตั้ง,14.086690466434426
2550,สถาบันพระมหากษัตริย์,33.04186196422943
2550,สิทธิ-เสรีภาพ-หน้าที่,33.264623866939864
2550,อื่น ๆ (emergent),15.0
2550,แนวนโยบายแห่งรัฐ,28.521355667918478
2554,ตุลาการ,0.20833333333333334
2554,นิติบัญญัติ,5.584115039549823
2554,บริหาร,0.8344202898550726
2554,พรรคการเมืองและการเลือกตั้ง,2.8508255029994163
2554,สถาบันพระมหากษัตริย์,0.20833333333333334
2554,สิทธิ-เสรีภาพ-หน้าที่,0.6965811965811965
2554,อื่น ๆ (emergent),6.0
2554,แนวนโยบายแห่งรัฐ,0.6173913043478261
2557,การคลังและงบประมาณ,0.16666666666666666
2557,จริยธรรมทางการเมือง,0.21978021978021978
2557,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,0.6877243509164452
2557,ตุลาการ,2.550125313283208
2557,ท้องถิ่น,0.6704119850187266
2557,นิติบัญญัติ,3.0
2557,บริหาร,14.862760707223241
2557,พรรคการเมืองและการเลือกตั้ง,0.4112779057953012
2557,สถาบันพระมหากษัตริย์,9.839473684210526
2557,สิทธิ-เสรีภาพ-หน้าที่,4.5063159907801635
2557,อื่น ๆ (emergent),8.0
2557,แนวนโยบายแห่งรัฐ,3.085463176325502
2560,การคลังและงบประมาณ,5.461901481984816
2560,การมีส่วนร่วมทางการเมือง,1.3057985168266166
2560,จริยธรรมทางการเมือง,8.127949306284526
2560,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,3.929474795866979
2560,ตุลาการ,25.103385160338814
2560,ท้องถิ่น,7.515946522376233
2560,นิติบัญญัติ,62.53072160702173
2560,บริหาร,33.92477182531743
2560,พรรคการเมืองและการเลือกตั้ง,14.323975096495806
2560,สถาบันพระมหากษัตริย์,30.974814036910114
2560,สิทธิ-เสรีภาพ-หน้าที่,24.509442850501852
2560,อื่น ๆ (emergent),13.0
2560,แนวนโยบายแห่งรัฐ,39.29181880007508
2564,นิติบัญญัติ,1.9444444444444446
2564,บริหาร,0.2777777777777778
