constitution_id,year_th,year_ce,name_short,constitution_type,amends_year,era,regime_type,chapter_number,chapter_title,part_number,part_title,section_number,section_text
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,1,"รัฐธรรมนูญนี้เรียกว่า ""รัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม (ฉบับที่ 6) พุทธศักราช 2539"" เล่ม 113 ตอนที่ 53 ก ราชกิจจานุเบกษา 22 ตุลาคม 2539 หน้า 2"
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,2,รัฐธรรมนูญนี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศใน ราชกิจจานุเบกษาเป็นต้นไป
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,3,ให้เพิ่มความต่อไปนี้เป็น (15) (16) และ (17) ของ
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,4,ให้เพิ่มความต่อไปนี้เป็นหมวด 12 การจัดทำรัฐธรรมนูญ ฉบับใหม่
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,5,ในวาระเริ่มแรก ให้ตราพระราชกฤษฎีกากำหนดให้มีการ รับสมัครรับเลือกตั้งเป็นสมาชิกสภาร่างรัฐธรรมนูญภายในสามสิบวัน นับแต่วันที่รัฐธรรมนูญนี้ใช้บังคับ และให้ดำเนินการตาม
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,53,มาใช้บังคับโดยอนุโลม และให้ประธานรัฐสภาเป็นผู้ลงนามรับสนองพระบรม ราชโองการ ในกรณีที่พระมหากษัตริย์ไม่ทรงเห็นชอบด้วยกับร่างรัฐธรรมนูญและ พระราชทานคืนมา หรือเมื่อพ้นกำหนดเก้าสิบวันแล้วมิได้พระราชทานคืนมา ให้ร่างรัฐธรรมนูญนั้นเป็นอันตกไป ในกรณีที่มีคะแนนเสียงให้ความเห็นชอบไม่ถึงกึ่งหนึ่งของจำนวนสมาชิก ทั้งหมดเท่าที่มีอยู่ของทั้งสองสภา ให้ดำเนินการจัดให้มีประชามติเพื่อให้ ประชาชนออกเสียงลงคะแนนว่าจะเห็นชอบหรือไม่เห็นชอบกับร่างรัฐธรรมนูญ ที่สภาร่างรัฐธรรมนูญเสนอ
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,93,และ
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,113,(1) (2) (3) (4) (5) (6) (7) (8) (10) และ (12) (2) เป็นสมาชิกวุฒิสภา สมาชิกสภาผู้แทนราษฎรหรือข้าราชการการเมือง (3) เป็นข้าราชการซึ่งมีตำแหน่งหรือเงินเดือนประจำ (4) เป็นพนักงานหรือลูกจ้างของหน่วยงานของรัฐหรือรัฐวิสาหกิจ หรือของราชการส่วนท้องถิ่น
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,129,และ
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,130,มาใช้กับการประชุมของสภาร่างรัฐธรรมนูญโดยอนุโลม เอกสิทธิ์ที่บัญญัติไว้ใน
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,131,และ
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,132,และความคุ้มกันที่บัญญัติไว้ใน
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,140,และ
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,141,ให้นำมาใช้บังคับกับการประชุมของสมาชิกสภาร่างรัฐธรรมนูญและกรรมาธิการโดยอนุโลม เล่ม 113 ตอนที่ 53 ก ราชกิจจานุเบกษา 22 ตุลาคม 2539 หน้า 11
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,160,"ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2534 ซึ่งแก้ไขเพิ่มเติมโดยรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม (ฉบับที่ 5) พุทธศักราช 2538 ""(15) การดำเนินการเลือกตั้งสมาชิกสภาร่างรัฐธรรมนูญ ตาม"
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,211,"อัฏฐ และ ทศ วรรคสาม (16) การให้ความเห็นชอบร่างรัฐธรรมนูญตาม ปัณรส วรรคสาม (17) การให้ความเห็นชอบญัตติให้มีการจัดทำรัฐธรรมนูญ ฉบับใหม่ตาม เอกนวีสดิ"""
const_2539,2539,1996,Constitution 2539,amendment,,modern_democracy,civilian,0,(ไม่ระบุหมวด),,,211,"ทวิ ถึง เอกนวีสดิ ของรัฐธรรมนูญ แห่งราชอาณาจักรไทย พุทธศักราช 2534 ซึ่งแก้ไขเพิ่มเติมโดยรัฐธรรมนูญ แห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม (ฉบับที่ 5) พุทธศักราช 2538 ""หมวด 12 การจัดทำรัฐธรรมนูญฉบับใหม่ ทวิ ให้มีสภาร่างรัฐธรรมนูญ ทำหน้าที่จัดทำร่าง รัฐธรรมนูญฉบับใหม่ตามหมวดนี้ ประกอบด้วยสมาชิก ดังต่อไปนี้ เล่ม 113 ตอนที่ 53 ก ราชกิจจานุเบกษา 22 ตุลาคม 2539 หน้า 3 (1) สมาชิกซึ่งรัฐสภาเลือกตั้งจากผู้สมัครรับเลือกตั้ง ตาม ให้ได้จังหวัดละหนึ่งคน (2) สมาชิกซึ่งรัฐสภาเลือกตั้งจากผู้เชี่ยวชาญ หรือผู้มีประสบการณ์ จำนวนยี่สิบสามคน ดังต่อไปนี้ (ก) ผู้เชี่ยวชาญสาขากฎหมายมหาชน จำนวน แปดคน (ข) ผู้เชี่ยวชาญสาขารัฐศาสตร์หรือรัฐประศาสน ศาสตร์ จำนวนแปดคน (ค) ผู้มีประสบการณ์ด้านการเมือง การบริหาร ราชการแผ่นดินหรือการร่างรัฐธรรมนูญ ตามหลักเกณฑ์ที่ประธานรัฐสภา กำหนด จำนวนเจ็ดคน ตรี บุคคลผู้มีสิทธิสมัครรับเลือกตั้งเป็นสมาชิกสภา ร่างรัฐธรรมนูญตาม ทวิ (1) ต้องมีคุณสมบัติ ดังต่อไปนี้ (1) มีสัญชาติไทยโดยการเกิด (2) มีอายุไม่ต่ำกว่าสามสิบห้าปีบริบูรณ์ในวันเลือกตั้ง (3) สำเร็จการศึกษาไม่ต่ำกว่าชั้นปริญญาตรีหรือ เทียบเท่า (4) มีชื่ออยู่ในทะเบียนบ้านในจังหวัดที่สมัครรับ เลือกตั้งมาแล้วเป็นเวลาติดต่อกันไม่น้อยกว่าหนึ่งปีนับถึงวันสมัครรับเลือกตั้ง หรือเกิดในจังหวัดที่สมัครรับเลือกตั้ง หน้า 4 เล่ม 113 ตอนที่ 53 ก ราชกิจจานุเบกษา 22 ตุลาคม 2539 จัตวา บุคคลซึ่งมีลักษณะต้องห้ามมิให้ใช้สิทธิสมัครรับเลือกตั้งเป็นสมาชิกสภาร่างรัฐธรรมนูญตาม ทวิ (1) ได้แก่บุคคลซึ่งมีลักษณะดังต่อไปนี้ (1) เป็นบุคคลซึ่งมีลักษณะต้องห้ามมิให้ใช้สิทธิสมัครรับเลือกตั้งเป็นสมาชิกสภาผู้แทนราษฎรตาม"
