constitution_id,year_th,year_ce,name_short,constitution_type,amends_year,era,regime_type,chapter_number,chapter_title,part_number,part_title,section_number,section_text
const_2491b,2491,1948,Constitution 2491 (No.3),amendment,,post_coup_1947,military,0,(ไม่ระบุหมวด),,,50,"ของ รัฐธรรมนูญแห่งราชอาณาจักรไทย (ฉบับชั่วคราว) พุทธ ศักราช 2490 มาใช้บังคับแก่สภาร่างรัฐธรรมนูญโดย อนุโลม เอกสิทธิตามที่ระบุไว้ในมาตรานี้ ให้มีผลตั้งแต่วันเริ่ม ต้นดำเนินกิจการของสภาสภาร่างรัฐธรรมนูญ "" ผู้รับสนองพระบรมราชโองการ จอมพล ป. พิบูลสงคราม นายกรัฐมนตรี"
const_2491b,2491,1948,Constitution 2491 (No.3),amendment,,post_coup_1947,military,0,(ไม่ระบุหมวด),,,95,นว ให้นำบทบัญญัติใน
