constitution_id,year_th,year_ce,name_short,constitution_type,amends_year,era,regime_type,chapter_number,chapter_title,part_number,part_title,section_number,section_text
const_2482,2482,1939,Constitution 2482,amendment,,early_democracy,civilian,0,(ไม่ระบุหมวด),,,1,"รัฐธรรมนูญนี้ให้เรียกว่า ""รัฐธรรมนูญแก้ไข เพิ่มเติมว่าด้วยนามประเทศ พุทธศักราช 2482"""
const_2482,2482,1939,Constitution 2482,amendment,,early_democracy,civilian,0,(ไม่ระบุหมวด),,,2,ให้ใช้รัฐธรรมนูญนี้ตั้งแต่วันประกาศใน
const_2482,2482,1939,Constitution 2482,amendment,,early_democracy,civilian,0,(ไม่ระบุหมวด),,,3,นามประเทศนี้ให้เรียกว่า ประเทศไทย และ บทแห่งรัฐธรรมนูญหรือกฎหมายอื่นใด ซึ่งใช้คำว่า สยาม ให้ใช้คำว่า ไทย แทน ผู้รับสนองพระบรมราชโองการ พิบูลสงคราม นายกรัฐมนตรี
