theme,first_mass,last_mass,first_ratio,last_ratio,trend_delta,dynamic_score
อื่น ๆ (emergent),246.0,77.0,0.19727345629510826,0.07482993197278912,-0.12244352432231914,0.12244352432231914
สถาบันพระมหากษัตริย์,221.55791743270663,116.48461550544984,0.1776727485426677,0.1132017643396014,-0.06447098420306631,0.06447098420306631
ตุลาการ,55.46474251701112,98.22079210600327,0.044478542515646445,0.09545266482604789,0.050974122310401444,0.050974122310401444
แนวนโยบายแห่งรัฐ,92.40779017716487,109.92142032534935,0.07410408193838401,0.10682353773114611,0.0327194557927621,0.0327194557927621
ท้องถิ่น,15.132357329820975,46.01006700347016,0.012135009887586989,0.04471337901211872,0.03257836912453173,0.03257836912453173
สิทธิ-เสรีภาพ-หน้าที่,110.5613678749102,110.8520435092565,0.08866188281869303,0.10772793343951069,0.019066050620817662,0.019066050620817662
จริยธรรมทางการเมือง,1.0,18.043913370969623,0.0008019246190858059,0.01753538714379944,0.016733462524713635,0.016733462524713635
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,11.31157390492429,25.546843897523082,0.009071029594967353,0.024826864817806688,0.015755835222839333,0.015755835222839333
การคลังและงบประมาณ,1.9447101449275364,13.9750634181679,0.001559510942203317,0.013581208375284646,0.012021697433081329,0.012021697433081329
บริหาร,148.33735190063095,128.12553573956066,0.11895537441911062,0.1245146119917985,0.005559237572687878,0.005559237572687878
การมีส่วนร่วมทางการเมือง,6.388888888888889,6.384430144020671,0.005123407288603761,0.00620449965405313,0.0010810923654493692,0.0010810923654493692
นิติบัญญัติ,336.89329982901455,278.43527498022894,0.2701630311379427,0.27058821669604366,0.00042518555810094893,0.00042518555810094893
