theme,n_sections,n_constitutions,avg_theme_score,coverage_ratio,stable_score
อื่น ๆ (emergent),403,37,1.0,0.9736842105263158,0.9815789473684211
บริหาร,690,38,0.47573307479752985,1.0,0.842719922439259
นิติบัญญัติ,1203,31,0.6339336301692279,0.8157894736842105,0.7612327206297157
สถาบันพระมหากษัตริย์,653,26,0.6034914282119711,0.6842105263157895,0.6599947968846439
สิทธิ-เสรีภาพ-หน้าที่,566,26,0.4851720342332907,0.6842105263157895,0.6244989786910398
ตุลาการ,339,22,0.5217238102137894,0.5789473684210527,0.5617803009588737
แนวนโยบายแห่งรัฐ,459,21,0.5669120332496791,0.5526315789473685,0.5569157152380617
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,129,13,0.2943915380647208,0.34210526315789475,0.32779114562994255
ท้องถิ่น,163,10,0.465830214858081,0.2631578947368421,0.3239595907732138
จริยธรรมทางการเมือง,54,7,0.435787958048259,0.18421052631578946,0.25968375583553027
การมีส่วนร่วมทางการเมือง,38,8,0.35749087055958106,0.21052631578947367,0.2546156822205059
การคลังและงบประมาณ,53,7,0.30037308609614033,0.18421052631578946,0.21905929424989473
