theme,first_mass,last_mass,first_ratio,last_ratio,trend_delta,dynamic_score
สถาบันพระมหากษัตริย์,245.41186874272108,123.6316542558268,0.19743513173187538,0.12026425511267198,-0.0771708766192034,0.0771708766192034
ตุลาการ,79.32018618046894,118.80136805859642,0.06381350456996697,0.11556553313093038,0.051752028560963406,0.051752028560963406
ท้องถิ่น,17.851155484186204,45.82341764652447,0.014361347935789383,0.04457530899467361,0.030213961058884225,0.030213961058884225
พรรคการเมืองและการเลือกตั้ง,85.22383534213628,50.208686481827534,0.06856302119238639,0.04884113470994896,-0.019721886482437424,0.019721886482437424
ตรวจสอบอำนาจรัฐ/ต้านทุจริต,12.812054404016477,28.394874435981556,0.010307364765902233,0.027621473186752486,0.017314108420850252,0.017314108420850252
นิติบัญญัติ,325.63979272129063,251.7702964526574,0.261978916107233,0.2449127397399391,-0.017066176367293906,0.017066176367293906
แนวนโยบายแห่งรัฐ,133.36526755439394,118.1066053102421,0.10729305515236841,0.11488969388155847,0.007596638729190058,0.007596638729190058
ทั่วไป/โครงสร้าง,8.738089149838045,0.2810391632666451,0.007029838414994404,0.00027338440006482984,-0.006756454014929574,0.006756454014929574
จริยธรรมทางการเมือง,15.162949526196893,18.288634873956507,0.012198672185194605,0.017790500850152244,0.005591828664957639,0.005591828664957639
การคลังและงบประมาณ,11.126197608353579,14.93905053565287,0.008951084157967481,0.014532150326510573,0.005581066168543092,0.005581066168543092
การมีส่วนร่วมทางการเมือง,6.062142509564132,9.578393393554334,0.004877025349609117,0.009317503301122894,0.004440477951513777,0.004440477951513777
สิทธิ-เสรีภาพ-หน้าที่,133.16904436953214,114.37049553132252,0.10713519257404035,0.11125534584759,0.0041201532735496565,0.0041201532735496565
องค์กรอิสระ/องค์กรตามรัฐธรรมนูญ,3.1285359125766306,0.0,0.00251692350167066,0.0,-0.00251692350167066,0.00251692350167066
อื่น ๆ (emergent),7.0,4.0,0.0056315366049879325,0.0038910505836575876,-0.001740486021330345,0.001740486021330345
ปฏิรูปประเทศ,2.0,0.0,0.0016090104585679806,0.0,-0.0016090104585679806,0.0016090104585679806
บริหาร,156.98888049472504,129.80548386059087,0.12629837529744573,0.1262699259344269,-2.844936301882317e-05,2.844936301882317e-05
