year_th,theme,theme_score
2517,องค์กรอิสระ/องค์กรตามรัฐธรรมนูญ,1.172847432132156
2517,แนวนโยบายแห่งรัฐ,36.70360887734291
2518,นิติบัญญัติ,0.8333333333333333
2518,บริหาร,2.333333333333333
2518,สถาบันพระมหากษัตริย์,1.3240751080968431
2518,แนวนโยบายแห่งรัฐ,0.5092582252364901
2519,ตุลาการ,1.636726275262335
2519,นิติบัญญัติ,0.7894736842105263
2519,บริหาร,11.052372360823464
2519,พรรคการเมืองและการเลือกตั้ง,0.2105263157894737
2519,สถาบันพระมหากษัตริย์,11.190305826666078
2519,สิทธิ-เสรีภาพ-หน้าที่,2.8291337955991067
2519,แนวนโยบายแห่งรัฐ,1.2914617416490155
2520,ตุลาการ,1.25
2520,ท้องถิ่น,0.296166772716961
2520,นิติบัญญัติ,0.8261528120528255
2520,บริหาร,13.510222225860778
2520,พรรคการเมืองและการเลือกตั้ง,2.2857142857142856
2520,สถาบันพระมหากษัตริย์,10.44047619047619
2520,สิทธิ-เสรีภาพ-หน้าที่,0.8214053647153308
2520,อื่น ๆ (emergent),1.0
2520,แนวนโยบายแห่งรัฐ,1.5698623484636294
2521,การคลังและงบประมาณ,3.010148198406561
2521,จริยธรรมทางการเมือง,2.2269609568711752
2521,ตรวจสอบอำนาจรัฐ/ต้านทุจริต,0.4444444444444445
2521,ตุลาการ,16.880157596276426
2521,ทั่วไป/โครงสร้าง,2.45621464041067
2521,ท้องถิ่น,5.559967199507349
2521,นิติบัญญัติ,63.375332514130044
2521,บริหาร,18.638150936758976
2521,พรรคการเมืองและการเลือกตั้ง,8.387100396851306
2521,สถาบันพระมหากษัตริย์,32.839189279515026
2521,สิทธิ-เสรีภาพ-หน้าที่,24.925004495449386
2521,องค์กรอิสระ/องค์กรตามรัฐธรรมนูญ,0.306676204311594
2521,อื่น ๆ (emergent),1.0
2521,แนวนโยบายแห่งรัฐ,25.950653137067043
2528,นิติบัญญัติ,1.852869352869353
2528,บริหาร,1.3571428571428572
2528,พรรคการเมืองและการเลือกตั้ง,1.4822954822954824
2528,สถาบันพระมหากษัตริย์,0.4907417747635098
2528,สิทธิ-เสรีภาพ-หน้าที่,0.3076923076923077
2528,แนวนโยบายแห่งรัฐ,0.5092582252364901
2532,นิติบัญญัติ,1.75
2532,บริหาร,0.25
